"id","id","division_id","depto_id","asig_id","p15","p15_just"
56,72,6,5,LAB. MECANICA DE MATERIALES I,1,Las pr�cticas de laboratorio son indispensables como complemento de la teor�a que se ve en clase.
57,72,6,5,LAB. MECANICA DE MATERIALES I,1,Las pr�cticas de laboratorio son indispensables como complemento de la teor�a que se ve en clase.
58,72,6,5,LAB. MECANICA DE MATERIALES I,1,CUMPLE CON LOS OBJETIVOS DE LA ASIGNATURA
59,72,6,5,LAB. MECANICA DE MATERIALES I,1,"""Esta no es una asignatura, son pr�cticas de laboratorio impartidas por un servidor, diferente al profesor de teor�a"""
60,72,6,5,LAB. MECANICA DE MATERIALES I,1,"""Esta no es una asignatura, son pr�cticas de laboratorio impartidas por un servidor, diferente al profesor de teor�a"""
61,73,6,5,LAB. MECANICA DE MATERIALES II,1,Por que se ven temas basicos para poder llevar Dise�o estructural
62,73,6,5,LAB. MECANICA DE MATERIALES II,2,Falta incluir el tema de torsi�n 
63,73,6,5,LAB. MECANICA DE MATERIALES II,2,Falta incluir el tema de torsi�n
64,73,6,5,LAB. MECANICA DE MATERIALES II,1,Las pr�cticas de laboratorio son indispensables como complemento de la teor�a que se ve en clase.
65,73,6,5,LAB. MECANICA DE MATERIALES II,1,Las pr�cticas de laboratorio son indispensables como complemento de la teor�a que se ve en clase.
66,73,6,5,LAB. MECANICA DE MATERIALES II,1,"""Esta no es una asignatura, son pr�cticas de laboratorio impartidas por un servidor, diferente al profesor de teor�a"""
67,96,6,8,CIMENTACIONES,1,Cumple con los temas necesarios para el dise�o de cimentaciones
68,96,6,8,CIMENTACIONES,1,Se cubren todos los temas. 
69,96,6,8,CIMENTACIONES,2,El temario es muy extenso para las horas de clase.
70,96,6,8,CIMENTACIONES,2,"""falta de conocimientos relativos al comportamiento s�smico, por el semestre en que se imparte la materia"""
71,96,6,8,CIMENTACIONES,2,Contiene los temas b�sicos de la materia pero siempre existir� la posibilidad de mejora 
72,100,6,8,GEOLOGIA,2,Solo falta poner ejemplos en muchas �reas m�s.
73,100,6,8,GEOLOGIA,2,Porque hay temas que  requieren de mayor tiempo pero se le dedica menos por intentar cubrir el programa de estudio
74,100,6,8,GEOLOGIA,2,Porque hay temas que  requieren de mayor tiempo pero se le dedica menos por intentar cubrir el programa de estudio.
75,100,6,8,GEOLOGIA,1,Programa actualizado
76,100,6,8,GEOLOGIA,4,"""Estoy por terminar una Cr�tica al programa donde lo analizo detalladamente, la que ser� entregada pr�ximamente a las autoridades correspondientes."""
77,100,6,8,GEOLOGIA,4,"""Estoy por terminar una Cr�tica al programa donde lo analizo detalladamente, la que ser� entregada pr�ximamente a las autoridades correspondientes."""
78,100,6,8,GEOLOGIA,2,En esta �poca de pandemia han faltado las pr�cticas de campo y laboratorio.
79,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,1,Porque se logra hacer comprender que el dise�o en ingenier�a es una actividad cientifica
80,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,1,Participo en revisiones de planes de estudio.
81,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,2,La asignatura deber�a de ser de nueve cr�ditos
82,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,2,La asignatura deber�a de ser de nueve cr�ditos
83,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,2,Se requiere obligatoriedad en asignaturas antecedentes como �lgebra Lineal y C�lculo Vectorial.
84,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,2,Se requiere obligatoriedad en asignaturas antecedentes como �lgebra Lineal y C�lculo Vectorial.
85,99,6,8,FUND. DE MECANICA DEL MEDIO CONTINUO,2,Aunque contiene los temas b�sicos de la materia siempre existir� la posibilidad de mejora
86,97,6,8,COMPORTAMIENTO DE SUELOS,1,Porque me parece muy adecuado
87,97,6,8,COMPORTAMIENTO DE SUELOS,1,Revisamos y actualizamos los temarios en reuniones acad�micas del Depto.
88,97,6,8,COMPORTAMIENTO DE SUELOS,1,Totalmente de acuerdo
89,97,6,8,COMPORTAMIENTO DE SUELOS,2,falta el tema de mejoramiento de suelos
90,97,6,8,COMPORTAMIENTO DE SUELOS,2,falta el tema de mejoramiento de suelos
91,101,6,8,MECANICA DE SUELOS,1,ESTA BIEN ESTRUCTURADO
91,499,6,8,MECANICA DE SUELOS,1,ESTA BIEN ESTRUCTURADO
92,101,6,8,MECANICA DE SUELOS,1,ESTA BIEN ESTRUCTURADO
92,499,6,8,MECANICA DE SUELOS,1,ESTA BIEN ESTRUCTURADO
93,101,6,8,MECANICA DE SUELOS,1,Revisamos y actualizamos los temarios en reuniones acad�micas del Depto.
93,499,6,8,MECANICA DE SUELOS,1,Revisamos y actualizamos los temarios en reuniones acad�micas del Depto.
94,101,6,8,MECANICA DE SUELOS,1,Totalmente de acuerdo
94,499,6,8,MECANICA DE SUELOS,1,Totalmente de acuerdo
95,101,6,8,MECANICA DE SUELOS,1,Participo en revisiones de planes de estudio.
95,499,6,8,MECANICA DE SUELOS,1,Participo en revisiones de planes de estudio.
96,101,6,8,MECANICA DE SUELOS,2,Es muy extenso 
96,499,6,8,MECANICA DE SUELOS,2,Es muy extenso 
97,102,6,8,DINAMICA DE SUELOS,2,Revisamos y actualizamos los temarios en reuniones acad�micas del Depto. y ha este le falta.
98,98,6,8,ESTRUCTURA DE PAVIMENTOS,1,"""Se cubren los t�picos m�s relevantes,"""
99,103,6,8,FUNDAMENTOS DE MECANICA DE ROCAS,2,Esta actualizada la asignatura�
100,104,6,8,MECANICA DE SUELOS APLICADA,2,"""Hay temas muy dispersos, que podr�an tener otra secuencia."""
101,105,6,8,LAB. FUNDAMENTOS DE MECANICA DEL MEDIO CONTINUO,1,SE CUMPLE CON LOS CONOCIMIENTOS NECESARIOS PARA RESOLVER PROBLEMAS DE INGENIER�A
102,105,6,8,LAB. FUNDAMENTOS DE MECANICA DEL MEDIO CONTINUO,1,SE CUMPLE CON LOS CONOCIMIENTOS NECESARIOS PARA RESOLVER PROBLEMAS DE INGENIER�A
103,105,6,8,LAB. FUNDAMENTOS DE MECANICA DEL MEDIO CONTINUO,1,SE CUMPLE CON LOS CONOCIMIENTOS NECESARIOS PARA RESOLVER PROBLEMAS DE INGENIER�A
104,106,6,8,LAB. COMPORTAMIENTO DE SUELOS,2,     
105,107,6,8,LAB. MECANICA DE SUELOS,1,SE CUMPLE CON LOS CONOCIMIENTOS NECESARIOS PARA RESOLVER PROBLEMAS DE INGENIER�A
106,450,6,23,HIDROLOGIA,2,Se podr�a mejorar.
107,450,6,23,HIDROLOGIA,1,Cuenta con temas de pr�ctica profesional.
108,450,6,23,HIDROLOGIA,2,"""En mi opini�n, cancelar�a algunos temas del programa que considero no significativos, para hacer la materia m�s accesible al alumno"""
109,450,6,23,HIDROLOGIA,1,Se cubren los aspectos importantes
110,450,6,23,HIDROLOGIA,1,Comprende los temas necesarios que ser�n base en materias futuras
111,453,6,23,OBRAS HIDRAULICAS,2,Es demasiado extenso. 
112,453,6,23,OBRAS HIDRAULICAS,2,Se debe implementar medios tecnol�gicos y/o software (curso o asesor�as de los mismo)
113,453,6,23,OBRAS HIDRAULICAS,2,Se debe implementar medios tecnol�gicos y/o software (curso o asesor�as de los mismo)
114,453,6,23,OBRAS HIDRAULICAS,1,Se cubren los aspectos importantes
115,453,6,23,OBRAS HIDRAULICAS,2,En la modalidad en l�nea es imposible cubrirlo sin estrategias de trabajo grupal en l�nea
116,453,6,23,OBRAS HIDRAULICAS,2,falta tiempo
117,446,6,23,HIDRAULICA BASICA,1,Es un programa muy bien estructurado.
118,446,6,23,HIDRAULICA BASICA,1,Los alumnos contar�n con los conocimientos b�sicos y necesarios para posteriores asignaturas.
119,446,6,23,HIDRAULICA BASICA,2,En la modalidad en l�nea resulta demasiado amplio para cubrirlo en su totalidad
120,446,6,23,HIDRAULICA BASICA,1,. 
121,446,6,23,HIDRAULICA BASICA,1,. 
122,446,6,23,HIDRAULICA BASICA,1,Suficiente y adecuado al tiempo
123,447,6,23,HIDRAULICA DE CANALES,1,es adecuado
124,447,6,23,HIDRAULICA DE CANALES,1,Los temas son adecuados para nivel licenciatura.
125,447,6,23,HIDRAULICA DE CANALES,1,"""Quiz� s�lo el �ltimo tema, ya que es muy extenso para el tiempo que tiene destinado. Pero el resto de temas son todav�a m�s importantes."""
126,448,6,23,HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,Cuenta con los temas necesarios.
127,448,6,23,HIDRAULICA DE MAQUINAS Y TRANSITORIOS,2,El tema de redes abiertas debe regresar a Hidr�ulica B�sica.
128,448,6,23,HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,Sin comentarios
129,448,6,23,HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,"""El temario aborda la informaci�n b�sica necesaria que deben adquirir los alumnos para el ejercicio profesional, asimismo, propicia la posterior profundizaci�n de cierto temas"""
130,449,6,23,HIDRAULICA URBANA,2,Es un poco extenso para ser en l�nea o a distancia
131,445,6,23,ESTADISTICA APLICADA A INGENIERIA CIVIL,1,Cumple con los temas b�sicos que deben de aprender los alumnos para abordar cualquier tipo de investigaci�n
132,445,6,23,ESTADISTICA APLICADA A INGENIERIA CIVIL,1,Comprende los temas necesarios que ser�n base en materias futuras
133,445,6,23,ESTADISTICA APLICADA A INGENIERIA CIVIL,1,Es suficiente para materias consecuentes.
134,445,6,23,ESTADISTICA APLICADA A INGENIERIA CIVIL,1,Es suficiente para materias consecuentes.
135,451,6,23,INGENIERIA DE COSTAS,2,Programa muy ambicioso para el n�mero de cr�ditos asignados. 
137,454,6,23,LAB. HIDROLOGIA,1,De acuerdo con el temario de la asignatura.
138,454,6,23,LAB. HIDROLOGIA,1,De acuerdo con el temario de la asignatura.
139,454,6,23,LAB. HIDROLOGIA,1,De acuerdo con el temario de la asignatura.
140,454,6,23,LAB. HIDROLOGIA,1,De acuerdo con el temario de la asignatura.
141,454,6,23,LAB. HIDROLOGIA,1,FORTALECE LA FORMACI�N DE INGENIEROS
142,454,6,23,LAB. HIDROLOGIA,1,FORTALECE LA FORMACI�N DE INGENIEROS
143,454,6,23,LAB. HIDROLOGIA,1,.
144,454,6,23,LAB. HIDROLOGIA,1,.
145,455,6,23,LAB. OBRAS HIDRAULICAS,1,FORTALECE LA FORMACI�N DE INGENIEROS
146,455,6,23,LAB. OBRAS HIDRAULICAS,1,FORTALECE LA FORMACI�N DE INGENIEROS
147,455,6,23,LAB. OBRAS HIDRAULICAS,1,FORTALECE LA FORMACI�N DE INGENIEROS
148,455,6,23,LAB. OBRAS HIDRAULICAS,1,.
149,455,6,23,LAB. OBRAS HIDRAULICAS,1,.
150,455,6,23,LAB. OBRAS HIDRAULICAS,1,.
151,456,6,23,LAB. HIDRAULICA BASICA,1,De acuerdo con el temario de la asignatura.
152,456,6,23,LAB. HIDRAULICA BASICA,1,De acuerdo con el temario de la asignatura.
153,456,6,23,LAB. HIDRAULICA BASICA,1,FORTALECE LA FORMACI�N DE INGENIEROS
154,456,6,23,LAB. HIDRAULICA BASICA,1,FORTALECE LA FORMACI�N DE INGENIEROS
155,456,6,23,LAB. HIDRAULICA BASICA,1,FORTALECE LA FORMACI�N DE INGENIEROS
156,456,6,23,LAB. HIDRAULICA BASICA,1,FORTALECE LA FORMACI�N DE INGENIEROS
157,456,6,23,LAB. HIDRAULICA BASICA,1,. 
